date,pm10,pm2_5,carbon_monoxide,sulphur_dioxide
2024-03-01 00:00:00+00:00,37.0,26.6,342.0,1.0
2024-03-01 01:00:00+00:00,36.2,24.5,328.0,0.9
2024-03-01 02:00:00+00:00,34.5,23.0,308.0,0.8
2024-03-01 03:00:00+00:00,34.1,22.4,290.0,0.7
2024-03-01 04:00:00+00:00,32.6,21.3,277.0,0.6
2024-03-01 05:00:00+00:00,32.5,20.7,267.0,0.6
2024-03-01 06:00:00+00:00,31.9,20.0,260.0,0.5
2024-03-01 07:00:00+00:00,37.4,21.0,256.0,0.4
2024-03-01 08:00:00+00:00,35.5,20.1,254.0,0.4
2024-03-01 09:00:00+00:00,37.3,21.3,254.0,0.3
2024-03-01 10:00:00+00:00,36.9,21.7,256.0,0.3
2024-03-01 11:00:00+00:00,38.4,22.5,260.0,0.2
2024-03-01 12:00:00+00:00,37.3,18.8,277.0,0.2
2024-03-01 13:00:00+00:00,37.0,18.7,276.0,0.2
2024-03-01 14:00:00+00:00,37.1,18.6,275.0,0.2
2024-03-01 15:00:00+00:00,40.2,18.9,278.0,0.2
2024-03-01 16:00:00+00:00,41.7,19.4,286.0,0.2
2024-03-01 17:00:00+00:00,42.3,20.2,297.0,0.3
2024-03-01 18:00:00+00:00,37.4,21.6,310.0,0.4
2024-03-01 19:00:00+00:00,33.3,21.8,328.0,0.5
2024-03-01 20:00:00+00:00,30.4,21.3,348.0,0.6
2024-03-01 21:00:00+00:00,27.9,20.3,361.0,0.7
2024-03-01 22:00:00+00:00,25.9,19.2,362.0,0.7
2024-03-01 23:00:00+00:00,23.5,17.4,355.0,0.7
2024-03-02 00:00:00+00:00,26.4,19.3,402.0,0.9
2024-03-02 01:00:00+00:00,24.0,17.6,390.0,0.9
2024-03-02 02:00:00+00:00,21.4,15.7,373.0,0.9
2024-03-02 03:00:00+00:00,19.2,14.1,355.0,0.8
2024-03-02 04:00:00+00:00,17.3,12.7,338.0,0.7
2024-03-02 05:00:00+00:00,15.8,11.6,320.0,0.6
2024-03-02 06:00:00+00:00,14.8,10.7,304.0,0.5
2024-03-02 07:00:00+00:00,15.0,10.1,287.0,0.4
2024-03-02 08:00:00+00:00,16.5,10.8,272.0,0.3
2024-03-02 09:00:00+00:00,17.2,10.9,262.0,0.2
2024-03-02 10:00:00+00:00,22.2,12.2,261.0,0.1
2024-03-02 11:00:00+00:00,30.7,13.9,266.0,0.1
2024-03-02 12:00:00+00:00,20.3,6.4,265.0,0.1
2024-03-02 13:00:00+00:00,29.7,8.6,268.0,0.1
2024-03-02 14:00:00+00:00,39.1,10.7,272.0,0.2
2024-03-02 15:00:00+00:00,50.3,12.8,282.0,0.2
2024-03-02 16:00:00+00:00,61.9,15.0,293.0,0.2
2024-03-02 17:00:00+00:00,63.6,17.3,310.0,0.3
2024-03-02 18:00:00+00:00,45.1,20.8,344.0,0.4
2024-03-02 19:00:00+00:00,67.1,32.7,414.0,0.8
2024-03-02 20:00:00+00:00,57.2,35.2,501.0,1.2
2024-03-02 21:00:00+00:00,57.4,37.6,567.0,1.6
2024-03-02 22:00:00+00:00,58.7,39.9,597.0,1.7
2024-03-02 23:00:00+00:00,56.1,38.8,606.0,1.8
2024-03-03 00:00:00+00:00,67.3,46.2,703.0,2.3
2024-03-03 01:00:00+00:00,58.2,39.7,639.0,2.1
2024-03-03 02:00:00+00:00,47.7,32.7,549.0,1.8
2024-03-03 03:00:00+00:00,37.4,26.0,472.0,1.5
2024-03-03 04:00:00+00:00,29.3,20.5,422.0,1.3
2024-03-03 05:00:00+00:00,25.1,17.5,385.0,1.1
2024-03-03 06:00:00+00:00,23.8,16.6,352.0,0.9
2024-03-03 07:00:00+00:00,23.6,15.3,317.0,0.7
2024-03-03 08:00:00+00:00,22.7,14.0,287.0,0.5
2024-03-03 09:00:00+00:00,25.3,13.4,269.0,0.4
2024-03-03 10:00:00+00:00,33.5,15.0,272.0,0.3
2024-03-03 11:00:00+00:00,51.2,18.3,288.0,0.3
2024-03-03 12:00:00+00:00,51.8,17.5,318.0,0.2
2024-03-03 13:00:00+00:00,75.4,21.7,324.0,0.2
2024-03-03 14:00:00+00:00,89.6,24.6,334.0,0.3
2024-03-03 15:00:00+00:00,106.6,28.2,350.0,0.3
2024-03-03 16:00:00+00:00,108.7,30.0,371.0,0.3
2024-03-03 17:00:00+00:00,99.0,30.9,397.0,0.4
2024-03-03 18:00:00+00:00,70.1,31.7,432.0,0.5
